iter	Logloss
0	0.677009139
1	0.6641778539
2	0.6512785019
3	0.6383582802
4	0.6260813011
5	0.6155724966
6	0.6049085425
7	0.595978803
8	0.5876233679
9	0.579510414
10	0.5715235497
11	0.5640365643
12	0.556682086
13	0.5495738139
14	0.5431062925
15	0.5366761204
16	0.5313644736
17	0.5258239371
18	0.5204469959
19	0.5153075495
20	0.5109791565
21	0.5064674557
22	0.5010224432
23	0.4969766994
24	0.4930358293
25	0.4896938184
26	0.4865307737
27	0.4831774812
28	0.4799517221
29	0.476476608
30	0.472632158
31	0.4697570318
32	0.466123038
33	0.4630528308
34	0.4605812096
35	0.4583899924
36	0.4564771676
37	0.4542518246
38	0.4523199266
39	0.4503444031
40	0.4484139134
41	0.4467126486
42	0.4442811733
43	0.4426023409
44	0.4408506738
45	0.4393432714
46	0.4379212075
47	0.4365014038
48	0.4351326714
49	0.4333169712
50	0.4321388963
51	0.4306742665
52	0.4294972722
53	0.4282676019
54	0.4271498958
55	0.4257216199
56	0.4246827057
57	0.4236157034
58	0.4226427544
59	0.4217724423
60	0.4209987031
61	0.420041286
62	0.4191898724
63	0.418031211
64	0.4173838461
65	0.4164218282
66	0.4157930309
67	0.4145844984
68	0.4136360476
69	0.4129367599
70	0.4122841125
71	0.4115534083
72	0.4108883972
73	0.4102174518
74	0.4094127537
75	0.408457326
76	0.4076126257
77	0.4070841071
78	0.4065723854
79	0.4060399811
80	0.4054433868
81	0.4049115115
82	0.4044448706
83	0.4038687323
84	0.4032363819
85	0.4025958287
86	0.4022322569
87	0.4020209319
88	0.4016714443
89	0.4011515786
90	0.4006929059
91	0.4002497562
92	0.3997685806
93	0.3994672593
94	0.3991509485
95	0.3987903198
96	0.398400371
97	0.3982856369
98	0.3979835208
99	0.3975002524
100	0.3971281322
101	0.3966496408
102	0.396315607
103	0.395980598
104	0.3955551188
105	0.3951535387
106	0.3947332436
107	0.394267822
108	0.3939305251
109	0.3935926772
110	0.3932402426
111	0.3929450863
112	0.3925625887
113	0.3922656207
114	0.3920187801
115	0.3917302793
116	0.3915419092
117	0.3915093824
118	0.3912145891
119	0.3908421057
120	0.3904571021
121	0.3901965435
122	0.3899255422
123	0.3896713603
124	0.3894283562
125	0.3891571443
126	0.3888534523
127	0.3886026393
128	0.3882776583
129	0.3880483459
130	0.3878603849
131	0.3876409848
132	0.3873535756
133	0.3870325223
134	0.3868397931
135	0.386527999
136	0.3862343056
137	0.3860064973
138	0.3857998464
139	0.3855547201
140	0.3854161969
141	0.3850969131
142	0.3849014048
143	0.3846218588
144	0.3843636717
145	0.3841728416
146	0.3841623561
147	0.38397191
148	0.3836930503
149	0.3834443978
150	0.3830312979
151	0.3827974188
152	0.3825686891
153	0.3823591266
154	0.3822001079
155	0.3818356544
156	0.3815795072
157	0.3812257032
158	0.3809991342
159	0.3807423546
160	0.3805497551
161	0.3804156322
162	0.3802425041
163	0.3799769548
164	0.379752669
165	0.3795843881
166	0.3793762463
167	0.3793091002
168	0.3790897426
169	0.3788413811
170	0.3786234378
171	0.3783483312
172	0.3780676689
173	0.3778555794
174	0.3776077555
175	0.3773974744
176	0.3773501225
177	0.3771422524
178	0.3769636086
179	0.3767612667
180	0.3765673724
